HoV,MTR_cf_hat,TZ6zmix_cf_hat,FlowRate_Diff_(LTR-FDDN),Final_MSELoss,MaxEpochs
A1,1.1409931844143717,0.09761142606542361,-5.506148574462031,30.317672124050258,1
A2,1.2233667927481888,0.21395450552102563,-2.0423444577508008,4.171170884105412,10
A3,1.3178343779165875,0.25358923406159223,-4.555110620917844,20.74903276879855,1
A4,1.5520470290872153,0.3112917725145872,4.08987784518979,16.727100788574276,3
A5,1.1591980528957275,0.4676483656157342,-1.8555228416646514,3.4429650159392633,6
A6,1.0959365204593758,0.5227279793138901,-2.6694397578298776,7.125908620682836,2
C1,1.1287434333449018,0.5267296806223144,-4.439029899324282,19.704986447094946,1
C2,1.5091688848310603,0.5557266725194471,4.584688668435774,21.019370186483393,3
C3,1.4739941014372944,0.6200015810886726,4.3733504782773025,19.12619440584831,2
C4,1.2377403015232045,0.7585069054684815,0.6539350032699076,0.4276309885016141,2
C5,1.4930418721715184,0.7017709375738066,2.732452044439583,7.466294175162057,2
C6,1.4814335599752086,0.8283086152858807,5.541967858818907,30.713407748181822,2
D1,1.2700431456997012,0.9465120289084349,3.571523464611005,12.755779858266996,2
D2,1.1734819520667261,0.955405131198522,2.0385888146203115,4.155844355095047,2
E1,1.1694417445088265,0.9697869166483278,-2.6756055205404436,7.158864901546498,1
E2,1.611601026105729,0.6253403957543392,-4.77064031118698,22.75900897872221,2
F1,1.1659029619800645,0.7882815674927617,2.26795871966533,5.143636754106003,3
F2,1.1588581820805335,0.8020905546105531,2.5654541342706807,6.581554915046528,1
F3,1.1938313571001473,0.9071413951355808,2.6654007825201234,7.104361331458886,2
H1,1.187422993206321,0.923121367916607,-4.152088376496067,17.239837886233747,1
I1,1.497418904859093,0.8470455148955549,-3.6069949468862887,13.01041254686322,2
J1,1.4014361325652442,0.8851810465326901,4.929196415793058,24.296977305467127,3
M1,1.4138957276019533,1.18687728403375,4.676821239541596,21.872656906627387,4
M2,1.4066126273563488,1.211138724170026,-4.966767728794139,24.66878167179089,1
P1,1.4594352737481782,1.1892721363646863,3.573073600126804,12.766854951923122,1
Q1,1.201677049462514,1.2788705578466402,4.777823422882307,22.8275966602428,3
Q2,1.1789712439850055,1.3002411593252754,5.0614254321426415,25.618027405140325,1
S1,1.5142885818746674,1.1345652150619112,-3.2470350030733925,10.543236311183826,3
S2,1.1840717698495244,1.2185830719769892,4.12462799670061,17.01255611116649,3
S3,1.2151454662535714,1.291891844630807,3.4337175601322087,11.790416282760289,1
S4,1.2475220514360894,1.2218962882834294,-3.922532756035025,15.386263222167731,2
S5,1.7866803387882417,1.0829217686124075,-2.18839072384651,4.789053960217451,3
T1,1.3352381575309133,1.114859952850011,4.5256407308742155,20.481424024947703,4
T2,1.1848614438378766,1.3483985482721352,4.843572506988039,23.4601946304504,3
