HoV,MIXP,AMBP,AMBT,TZ6_Flow,R600_HD_Zeta3D,R610_HS1_Zeta3D,R611_HS1_Zeta3D,R612_HS1_Zeta3D,R613_HS1_Zeta3D,R620_HS1_Zeta3D,R620_HS2_Zeta3D,R620_HS3_Zeta3D,R621_HS1_Zeta3D,R621_HS2_Zeta3D,R621_HS3_Zeta3D
E2,2611.197525,101729.89869999999,296.00190399999997,670.748511,4.949375283472444,7.50611946319166,6.741077631819924,7.920332994779295,7.721656605586121,9.440921568507221,6.107864416241849,2.786637562377198,8.801675001083558,6.836715919475545,2.951190363409604
F1,2600.0,102704.8,298.36516666999995,721.422,5.4148802645163,7.50611946319166,6.741077631819924,7.920332994779295,7.721656605586121,9.440921568507221,6.107864416241849,2.786637562377198,8.801675001083558,6.836715919475545,2.951190363409604
F2,2600.0,101325.0,293.15,721.422,5.4148802645163,7.50611946319166,6.741077631819924,7.920332994779295,7.721656605586121,9.440921568507221,6.107864416241849,2.786637562377198,8.801675001083558,6.836715919475545,2.951190363409604
F3,2600.0,102676.8,297.89083333333326,742.0609999999998,4.949375283472444,6.203458504097365,4.756868088978893,7.039407389614933,6.401507437698857,9.440921568507221,6.107864416241849,2.786637562377198,8.801675001083558,6.836715919475545,2.951190363409604
H1,2600.0,101983.8,293.8178333333333,736.826,4.949375283472444,5.595442916228377,4.756868088978893,6.271347160683374,6.114034506015607,9.440921568507221,6.107864416241849,2.786637562377198,8.801675001083558,6.836715919475545,2.951190363409604
I1,2601.371425,100213.2298,295.077654,727.0173530000002,4.127180457922134,5.595442916228377,6.198695728198789,7.920332994779295,7.721656605586121,9.440921568507221,6.107864416241849,2.786637562377198,8.801675001083558,6.836715919475545,2.951190363409604
J1,2597.823175,100891.7896,294.84009,707.733025,4.949375283472444,7.50611946319166,6.741077631819924,7.920332994779295,7.721656605586121,9.440921568507221,6.107864416241849,2.786637562377198,8.801675001083558,6.836715919475545,2.951190363409604
M1,2588.72735,102353.611,298.56314699999996,755.7748080000001,3.7645035449506787,7.50611946319166,6.741077631819924,7.920332994779295,7.721656605586121,9.440921568507221,6.107864416241849,2.786637562377198,8.801675001083558,6.836715919475545,2.951190363409604
M2,2632.9689,100388.3476,297.954306,764.0123719999998,3.7645035449506787,6.8906185836864475,5.591146951220202,7.920332994779295,6.862828444872293,9.440921568507221,6.107864416241849,2.786637562377198,8.801675001083558,6.836715919475545,2.951190363409604
P1,2605.0218999999997,101100.0796,295.93329,752.4893850000002,3.7645035449506787,7.50611946319166,6.741077631819924,7.920332994779295,7.721656605586121,9.440921568507221,6.107864416241849,2.786637562377198,8.801675001083558,6.836715919475545,2.951190363409604
Q1,2600.0,101418.2,297.5995,725.0269999999999,4.949375283472444,10.02106896516872,9.143664364318942,10.11135599670757,9.85771922403693,9.440921568507221,6.107864416241849,2.786637562377198,8.801675001083558,6.836715919475545,2.951190363409604
Q2,2600.0,100117.8,297.26166666666666,747.2520000000002,4.949375283472444,7.50611946319166,6.741077631819924,7.920332994779295,7.721656605586121,9.440921568507221,6.107864416241849,2.786637562377198,8.801675001083558,6.836715919475545,2.951190363409604
S1,2600.60825,101371.057,295.43623099999996,742.0752980000001,3.5940970676669863,7.50611946319166,6.741077631819924,9.156844076158631,7.721656605586121,9.440921568507221,6.107864416241849,2.786637562377198,8.801675001083558,6.836715919475545,2.951190363409604
S2,2600.0,100213.9,296.83932999999996,744.5920000000001,4.949375283472444,7.50611946319166,6.741077631819924,7.920332994779295,7.721656605586121,9.440921568507221,6.107864416241849,2.786637562377198,8.801675001083558,6.836715919475545,2.951190363409604
S3,2600.0,101105.3,297.28566666666666,753.317,4.521188627716888,7.50611946319166,6.741077631819924,7.920332994779295,7.721656605586121,9.440921568507221,6.107864416241849,2.786637562377198,8.801675001083558,6.836715919475545,2.951190363409604
S4,2597.6460500000003,102356.1438,294.425869,734.4672710000001,4.521188627716888,7.50611946319166,6.741077631819924,7.920332994779295,6.862828444872293,9.440921568507221,6.107864416241849,2.786637562377198,8.801675001083558,6.836715919475545,2.951190363409604
S5,2602.399025,102286.7009,294.434538,757.92998,2.8397674398682766,7.50611946319166,5.591146951220202,7.920332994779295,6.862828444872293,9.440921568507221,6.107864416241849,2.786637562377198,8.801675001083558,6.836715919475545,2.951190363409604
T1,2600.0,100112.6,297.13349999999997,722.585,4.949375283472444,7.50611946319166,6.741077631819924,7.920332994779295,7.721656605586121,9.440921568507221,6.107864416241849,2.786637562377198,8.801675001083558,6.836715919475545,2.951190363409604
T2,2600.0,101099.0,296.2788333333333,741.2289999999999,4.949375283472444,7.50611946319166,6.741077631819924,7.920332994779295,7.721656605586121,9.440921568507221,6.107864416241849,2.786637562377198,8.801675001083558,6.836715919475545,2.951190363409604
