HoV,TZ_Flow,MIXP,AMBP,AMBT,R610_HS1,R611_HS1,R612_HS1,R613_HS1,R600_HD
FDDN_ASD87,745.504832,1800,101024,296.15,145,153,130,130,147
FDDN_ASD88,891.2288266,2600,101224,293.15,145,153,130,130,147
FDDN_ASD89,1026.051894,3400,101725,298.15,145,153,130,130,147
FDDN_ASD90,738.9491179,1800,100924,298.15,131,140,120,125,147
FDDN_ASD91,885.4239344,2600,102025,299.15,131,140,120,125,147
FDDN_ASD92,1017.282934,3400,100223,296.15,131,140,120,125,147
FDDN_ASD93,729.8421598,1800,102726,295.15,131,140,120,125,147
FDDN_ASD94,890.3463564,2600,101224,299.15,131,140,120,125,147
FDDN_ASD95,1013.891353,3400,102226,299.15,131,140,120,125,147
FDDN_ASD96,737.002166,1800,101324,298.15,131,136,120,125,147
FDDN_ASD97,878.5278563,2600,101425,293.15,131,136,120,125,147
FDDN_ASD98,1000.885051,3400,103027,295.15,131,136,120,125,147
FDDN_ASD99,732.8020566,1800,101425,294.15,131,136,120,125,147
FDDN_ASD100,880.059889,2600,102426,296.15,131,136,120,125,147
FDDN_ASD101,1002.726401,3400,102626,294.15,131,136,120,125,147
FDDN_ASD102,739.7996754,1800,100624,299.15,131,142,120,120,147
FDDN_ASD103,880.3351176,2600,101425,295.15,131,142,120,120,147
FDDN_ASD104,1008.362508,3400,101925,297.15,131,142,120,120,147
FDDN_ASD105,732.3918836,1800,100924,293.15,131,142,120,120,147
FDDN_ASD106,877.3017235,2600,103127,297.15,131,142,120,120,147
FDDN_ASD107,1013.755105,3400,100824,296.15,131,142,120,120,147
FDDN_ASD108,740.8953941,1800,101024,299.15,135,145,120,125,147
FDDN_ASD109,883.48678,2600,102426,298.15,135,145,120,125,147
FDDN_ASD110,1013.582707,3400,100223,293.15,135,145,120,125,147
FDDN_ASD111,739.185651,1800,101124,297.15,135,145,120,125,147
FDDN_ASD112,881.8308248,2600,103127,298.15,135,145,120,125,147
FDDN_ASD113,1021.388529,3400,101024,299.15,135,145,120,125,147
FDDN_ASD114,729.95173,1800,100624,293.15,125,130,120,120,147
FDDN_ASD115,877.083498,2600,100824,293.15,125,130,120,120,147
FDDN_ASD116,996.5472231,3400,102626,294.15,125,130,120,120,147
FDDN_ASD117,732.8920803,1800,101825,298.15,125,130,120,120,147
FDDN_ASD118,879.5179433,2600,100924,294.15,125,130,120,120,147
FDDN_ASD119,1006.566374,3400,100924,294.15,125,130,120,120,147
FDDN_ASD120,743.7207875,1800,101425,299.15,140,153,125,128,147
FDDN_ASD121,888.2286704,2600,101825,296.15,140,153,125,128,147
FDDN_ASD122,1020.062226,3400,102125,299.15,140,153,125,128,147
FDDN_ASD123,740.2461733,1800,101324,295.15,140,153,125,128,147
FDDN_ASD124,895.3880821,2600,100523,296.15,140,153,125,128,147
FDDN_ASD125,1022.253121,3400,100323,294.15,140,153,125,128,147
FDDN_ASD126,735.8638314,1800,101425,297.15,145,140,120,120,147
FDDN_ASD127,874.2936043,2600,103227,295.15,145,140,120,120,147
FDDN_ASD128,1018.61129,3400,100624,298.15,145,140,120,120,147
FDDN_ASD129,731.7670268,1800,101825,294.15,145,140,120,120,147
FDDN_ASD130,879.3151976,2600,102025,294.15,145,140,120,120,147
FDDN_ASD131,1010.419493,3400,102226,297.15,145,140,120,120,147
FDDN_ASD132,712.3046028,1800,103127,295.15,118,122,110,110,147
FDDN_ASD133,864.4856329,2600,100624,293.15,118,122,110,110,147
FDDN_ASD134,988.2729451,3400,101525,295.15,118,122,110,110,147
FDDN_ASD135,721.0625836,1800,101625,297.15,118,122,110,110,147
FDDN_ASD136,860.6170354,2600,101825,293.15,118,122,110,110,147
FDDN_ASD137,988.615181,3400,103127,299.15,118,122,110,110,147
FDDN_ASD138,735.9313351,1800,101224,296.15,131,145,120,125,147
FDDN_ASD139,879.0744626,2600,102626,296.15,131,145,120,125,147
FDDN_ASD140,1006.954023,3400,102426,296.15,131,145,120,125,147
FDDN_ASD141,737.8603886,1800,102025,299.15,131,145,120,125,147
FDDN_ASD142,879.1224993,2600,102926,296.15,131,145,120,125,147
FDDN_ASD143,1016.921355,3400,101425,298.15,131,145,120,125,147
FDDN_ASD144,739.0764801,1800,102826,299.15,131,136,120,120,148
FDDN_ASD145,892.4272683,2600,100323,294.15,131,136,120,120,148
FDDN_ASD146,1012.928426,3400,101625,293.15,131,136,120,120,148
FDDN_ASD147,741.2337694,1800,101525,296.15,131,136,120,120,148
FDDN_ASD148,897.9048558,2600,100423,297.15,131,136,120,120,148
FDDN_ASD149,1017.712994,3400,102025,296.15,131,136,120,120,148
FDDN_ASD150,740.8714874,1800,100223,295.15,131,136,114,120,148
FDDN_ASD151,888.1199633,2600,101224,296.15,131,136,114,120,148
FDDN_ASD152,1016.036531,3400,101625,297.15,131,136,114,120,148
FDDN_ASD153,733.957901,1800,101725,293.15,131,136,114,120,148
FDDN_ASD154,891.3220901,2600,101825,299.15,131,136,114,120,148
FDDN_ASD155,1022.723927,3400,100624,297.15,131,136,114,120,148
FDDN_ASD156,756.5755026,1800,100323,297.15,145,153,130,130,148
FDDN_ASD157,905.1409439,2600,101725,298.15,145,153,130,130,148
FDDN_ASD158,1038.196486,3400,100924,297.15,145,153,130,130,148
FDDN_ASD159,748.0147689,1800,101925,294.15,145,153,130,130,148
FDDN_ASD160,909.9363809,2600,101324,299.15,145,153,130,130,148
FDDN_ASD161,1027.242741,3400,102025,293.15,145,153,130,130,148
FDDN_ASD162,741.3759999,1800,102125,297.15,131,140,120,125,148
FDDN_ASD163,890.859248,2600,101625,295.15,131,140,120,125,148
FDDN_ASD164,1025.29772,3400,100824,296.15,131,140,120,125,148
FDDN_ASD165,743.5647779,1800,100824,294.15,131,140,120,125,148
FDDN_ASD166,893.7125889,2600,100624,293.15,131,140,120,125,148
FDDN_ASD167,1020.749855,3400,102726,298.15,131,140,120,125,148
FDDN_ASD168,738.2152806,1800,101825,294.15,131,136,120,125,148
FDDN_ASD169,891.3350013,2600,101725,296.15,131,136,120,125,148
FDDN_ASD170,1019.640044,3400,102826,299.15,131,136,120,125,148
FDDN_ASD171,738.6755751,1800,102025,294.15,131,136,120,125,148
FDDN_ASD172,896.7761478,2600,100824,296.15,131,136,120,125,148
FDDN_ASD173,1020.273896,3400,103027,299.15,131,136,120,125,148
FDDN_ASD174,744.9152775,1800,101425,299.15,131,142,120,120,148
FDDN_ASD175,891.0701985,2600,100824,294.15,131,142,120,120,148
FDDN_ASD176,1016.708491,3400,103127,299.15,131,142,120,120,148
FDDN_ASD177,744.2956838,1800,101224,297.15,131,142,120,120,148
FDDN_ASD178,897.7895346,2600,101324,299.15,131,142,120,120,148
FDDN_ASD179,1015.918308,3400,102926,297.15,131,142,120,120,148
FDDN_ASD180,752.0346523,1800,100223,299.15,135,145,120,125,148
FDDN_ASD181,883.0869226,2600,103027,293.15,135,145,120,125,148
FDDN_ASD182,1024.958864,3400,101525,297.15,135,145,120,125,148
FDDN_ASD183,743.5483741,1800,101124,294.15,135,145,120,125,148
FDDN_ASD184,884.4716921,2600,103027,293.15,135,145,120,125,148
FDDN_ASD185,1019.544982,3400,102926,297.15,135,145,120,125,148
FDDN_ASD186,734.5165475,1800,102226,295.15,125,130,120,120,148
FDDN_ASD187,889.163824,2600,100924,295.15,125,130,120,120,148
FDDN_ASD188,1004.84775,3400,103127,294.15,125,130,120,120,148
FDDN_ASD189,737.9676219,1800,102626,298.15,125,130,120,120,148
FDDN_ASD190,894.9459575,2600,100624,297.15,125,130,120,120,148
FDDN_ASD191,1016.640793,3400,101425,295.15,125,130,120,120,148
FDDN_ASD192,750.1420689,1800,100223,294.15,140,153,125,128,148
FDDN_ASD193,893.9729085,2600,101725,293.15,140,153,125,128,148
FDDN_ASD194,1016.989137,3400,102926,293.15,140,153,125,128,148
FDDN_ASD195,748.3648659,1800,102726,299.15,140,153,125,128,148
FDDN_ASD196,897.7485875,2600,102226,296.15,140,153,125,128,148
FDDN_ASD197,1026.651665,3400,102025,295.15,140,153,125,128,148
FDDN_ASD198,743.4240194,1800,101224,296.15,145,140,120,120,148
FDDN_ASD199,891.575933,2600,102826,299.15,145,140,120,120,148
FDDN_ASD200,1025.817344,3400,101725,299.15,145,140,120,120,148
FDDN_ASD201,740.1930998,1800,101725,294.15,145,140,120,120,148
FDDN_ASD202,883.0859794,2600,103027,293.15,145,140,120,120,148
FDDN_ASD203,1022.037231,3400,101425,295.15,145,140,120,120,148
FDDN_ASD204,723.3135948,1800,102125,295.15,118,122,110,110,148
FDDN_ASD205,865.1293656,2600,102926,294.15,118,122,110,110,148
FDDN_ASD206,999.8995509,3400,100924,294.15,118,122,110,110,148
FDDN_ASD207,728.7840848,1800,100223,293.15,118,122,110,110,148
FDDN_ASD208,878.334575,2600,101525,298.15,118,122,110,110,148
FDDN_ASD209,1003.126737,3400,100924,295.15,118,122,110,110,148
FDDN_ASD210,736.2222193,1800,102326,293.15,131,145,120,125,148
FDDN_ASD211,896.6777654,2600,101825,299.15,131,145,120,125,148
FDDN_ASD212,1026.249656,3400,101124,297.15,131,145,120,125,148
FDDN_ASD213,738.1048446,1800,102125,293.15,131,145,120,125,148
FDDN_ASD214,890.1076563,2600,101925,294.15,131,145,120,125,148
FDDN_ASD215,1019.096331,3400,102526,296.15,131,145,120,125,148
FDDN_ASD216,749.8141734,1800,101024,296.15,131,136,120,120,149
FDDN_ASD217,892.3348801,2600,102826,295.15,131,136,120,120,149
FDDN_ASD218,1032.91753,3400,101525,298.15,131,136,120,120,149
FDDN_ASD219,745.1137184,1800,102626,296.15,131,136,120,120,149
FDDN_ASD220,892.0000303,2600,103227,295.15,131,136,120,120,149
FDDN_ASD221,1020.321808,3400,102626,293.15,131,136,120,120,149
FDDN_ASD222,751.4873861,1800,100824,299.15,131,136,114,120,149
FDDN_ASD223,894.7354063,2600,100824,293.15,131,136,114,120,149
FDDN_ASD224,1034.653433,3400,100423,298.15,131,136,114,120,149
FDDN_ASD225,740.9826911,1800,102626,295.15,131,136,114,120,149
FDDN_ASD226,900.3314503,2600,101925,299.15,131,136,114,120,149
FDDN_ASD227,1031.354663,3400,101725,299.15,131,136,114,120,149
FDDN_ASD228,749.3050476,1800,103127,293.15,145,153,130,130,149
FDDN_ASD229,911.663028,2600,102826,299.15,145,153,130,130,149
FDDN_ASD230,1044.635977,3400,101525,296.15,145,153,130,130,149
FDDN_ASD231,757.8583539,1800,102526,297.15,145,153,130,130,149
FDDN_ASD232,915.9672083,2600,101525,297.15,145,153,130,130,149
FDDN_ASD233,1035.954656,3400,103227,295.15,145,153,130,130,149
FDDN_ASD234,753.0696968,1800,101124,297.15,131,140,120,125,149
FDDN_ASD235,892.942771,2600,102626,293.15,131,140,120,125,149
FDDN_ASD236,1032.547226,3400,102226,298.15,131,140,120,125,149
FDDN_ASD237,750.997007,1800,101324,295.15,131,140,120,125,149
FDDN_ASD238,899.0277186,2600,101925,294.15,131,140,120,125,149
FDDN_ASD239,1022.269015,3400,103227,294.15,131,140,120,125,149
FDDN_ASD240,744.6603566,1800,102926,296.15,131,136,120,125,149
FDDN_ASD241,896.8897469,2600,102626,296.15,131,136,120,125,149
FDDN_ASD242,1043.385413,3400,100323,299.15,131,136,120,125,149
FDDN_ASD243,749.7169948,1800,101525,295.15,131,136,120,125,149
FDDN_ASD244,901.4617411,2600,101925,296.15,131,136,120,125,149
FDDN_ASD245,1042.313541,3400,100523,298.15,131,136,120,125,149
FDDN_ASD246,749.5539624,1800,102326,299.15,131,142,120,120,149
FDDN_ASD247,893.456875,2600,102426,294.15,131,142,120,120,149
FDDN_ASD248,1027.392079,3400,102125,296.15,131,142,120,120,149
FDDN_ASD249,747.2987385,1800,102226,296.15,131,142,120,120,149
FDDN_ASD250,895.5659541,2600,101925,293.15,131,142,120,120,149
FDDN_ASD251,1026.118704,3400,102025,294.15,131,142,120,120,149
FDDN_ASD252,750.9152651,1800,101324,295.15,135,145,120,125,149
FDDN_ASD253,904.558923,2600,102025,298.15,135,145,120,125,149
FDDN_ASD254,1031.516704,3400,101024,293.15,135,145,120,125,149
FDDN_ASD255,747.8819811,1800,102125,294.15,135,145,120,125,149
FDDN_ASD256,904.8708251,2600,100924,294.15,135,145,120,125,149
FDDN_ASD257,1037.975981,3400,101124,296.15,135,145,120,125,149
FDDN_ASD258,749.2911838,1800,101024,297.15,125,130,120,120,149
FDDN_ASD259,904.1928695,2600,101024,299.15,125,130,120,120,149
FDDN_ASD260,1034.044908,3400,100824,298.15,125,130,120,120,149
FDDN_ASD261,750.860161,1800,100924,297.15,125,130,120,120,149
FDDN_ASD262,896.2923961,2600,101425,294.15,125,130,120,120,149
FDDN_ASD263,1028.574285,3400,100523,293.15,125,130,120,120,149
FDDN_ASD264,759.386563,1800,100624,296.15,140,153,125,128,149
FDDN_ASD265,913.1217279,2600,100323,295.15,140,153,125,128,149
FDDN_ASD266,1042.098296,3400,100523,294.15,140,153,125,128,149
FDDN_ASD267,758.4128784,1800,102226,299.15,140,153,125,128,149
FDDN_ASD268,911.0701898,2600,100423,293.15,140,153,125,128,149
FDDN_ASD269,1042.385147,3400,101825,297.15,140,153,125,128,149
FDDN_ASD270,747.1794414,1800,102025,295.15,145,140,120,120,149
FDDN_ASD271,902.2635234,2600,102226,298.15,145,140,120,120,149
FDDN_ASD272,1034.206403,3400,100523,294.15,145,140,120,120,149
FDDN_ASD273,749.5004351,1800,101024,293.15,145,140,120,120,149
FDDN_ASD274,904.126418,2600,100423,293.15,145,140,120,120,149
FDDN_ASD275,1040.303749,3400,101024,298.15,145,140,120,120,149
FDDN_ASD276,730.4418705,1800,101525,293.15,118,122,110,110,149
FDDN_ASD277,886.1631305,2600,101825,299.15,118,122,110,110,149
FDDN_ASD278,1005.132746,3400,101925,294.15,118,122,110,110,149
FDDN_ASD279,738.2187763,1800,100724,296.15,118,122,110,110,149
FDDN_ASD280,887.3122744,2600,100523,295.15,118,122,110,110,149
FDDN_ASD281,1009.391856,3400,101725,295.15,118,122,110,110,149
FDDN_ASD282,750.3686286,1800,101324,295.15,131,145,120,125,149
FDDN_ASD283,898.6492659,2600,102526,296.15,131,145,120,125,149
FDDN_ASD284,1025.375942,3400,102426,294.15,131,145,120,125,149
FDDN_ASD285,749.0186111,1800,101324,293.15,131,145,120,125,149
FDDN_ASD286,906.1753836,2600,100824,295.15,131,145,120,125,149
FDDN_ASD287,1031.787464,3400,102526,297.15,131,145,120,125,149
FDDN_ASD288,755.8377255,1800,100824,294.15,131,136,120,120,150
FDDN_ASD289,899.0275193,2600,102726,293.15,131,136,120,120,150
FDDN_ASD290,1033.737671,3400,103127,297.15,131,136,120,120,150
FDDN_ASD291,765.7705043,1800,100223,299.15,131,136,120,120,150
FDDN_ASD292,906.9335931,2600,101625,294.15,131,136,120,120,150
FDDN_ASD293,1038.928418,3400,103127,299.15,131,136,120,120,150
FDDN_ASD294,747.1556813,1800,102726,295.15,131,136,114,120,150
FDDN_ASD295,913.5130479,2600,100423,298.15,131,136,114,120,150
FDDN_ASD296,1043.789985,3400,100724,298.15,131,136,114,120,150
FDDN_ASD297,758.4529084,1800,101024,298.15,131,136,114,120,150
FDDN_ASD298,904.4695368,2600,101725,295.15,131,136,114,120,150
FDDN_ASD299,1031.016481,3400,101825,293.15,131,136,114,120,150
FDDN_ASD300,766.0714616,1800,101825,296.15,145,153,130,130,150
FDDN_ASD301,923.4398414,2600,101024,295.15,145,153,130,130,150
FDDN_ASD302,1052.926554,3400,102426,297.15,145,153,130,130,150
FDDN_ASD303,759.3815548,1800,102926,293.15,145,153,130,130,150
FDDN_ASD304,925.1028608,2600,100323,293.15,145,153,130,130,150
FDDN_ASD305,1048.643805,3400,102226,293.15,145,153,130,130,150
FDDN_ASD306,763.9275714,1800,101024,299.15,131,140,120,125,150
FDDN_ASD307,916.8372828,2600,100423,296.15,131,140,120,125,150
FDDN_ASD308,1048.511125,3400,101224,298.15,131,140,120,125,150
FDDN_ASD309,765.2839743,1800,100323,297.15,131,140,120,125,150
FDDN_ASD310,919.6606835,2600,100824,298.15,131,140,120,125,150
FDDN_ASD311,1039.040732,3400,102726,296.15,131,140,120,125,150
FDDN_ASD312,753.9656445,1800,101825,294.15,131,136,120,125,150
FDDN_ASD313,905.2661495,2600,101825,293.15,131,136,120,125,150
FDDN_ASD314,1038.050503,3400,103127,298.15,131,136,120,125,150
FDDN_ASD315,762.3626073,1800,101625,299.15,131,136,120,125,150
FDDN_ASD316,909.5477143,2600,102926,298.15,131,136,120,125,150
FDDN_ASD317,1038.827227,3400,102626,296.15,131,136,120,125,150
FDDN_ASD318,754.2254706,1800,101124,293.15,131,142,120,120,150
FDDN_ASD319,900.3756376,2600,102626,293.15,131,142,120,120,150
FDDN_ASD320,1040.171595,3400,101725,296.15,131,142,120,120,150
FDDN_ASD321,760.7113455,1800,101425,298.15,131,142,120,120,150
FDDN_ASD322,920.0722723,2600,100624,299.15,131,142,120,120,150
FDDN_ASD323,1032.775981,3400,102826,294.15,131,142,120,120,150
FDDN_ASD324,761.6430729,1800,100924,296.15,135,145,120,125,150
FDDN_ASD325,917.7167153,2600,101224,298.15,135,145,120,125,150
FDDN_ASD326,1045.480853,3400,100423,293.15,135,145,120,125,150
FDDN_ASD327,768.6533915,1800,100423,299.15,135,145,120,125,150
FDDN_ASD328,911.3831244,2600,102626,297.15,135,145,120,125,150
FDDN_ASD329,1043.341527,3400,103227,299.15,135,145,120,125,150
FDDN_ASD330,756.229573,1800,101925,299.15,125,130,120,120,150
FDDN_ASD331,913.1101059,2600,101124,299.15,125,130,120,120,150
FDDN_ASD332,1035.157006,3400,101324,294.15,125,130,120,120,150
FDDN_ASD333,758.7985211,1800,100223,295.15,125,130,120,120,150
FDDN_ASD334,909.6858944,2600,102226,299.15,125,130,120,120,150
FDDN_ASD335,1043.088467,3400,101825,299.15,125,130,120,120,150
FDDN_ASD336,767.4016558,1800,101324,298.15,140,153,125,128,150
FDDN_ASD337,911.7452025,2600,102426,294.15,140,153,125,128,150
FDDN_ASD338,1052.610617,3400,100624,294.15,140,153,125,128,150
FDDN_ASD339,766.3034515,1800,100924,295.15,140,153,125,128,150
FDDN_ASD340,920.1011939,2600,102626,299.15,140,153,125,128,150
FDDN_ASD341,1046.768258,3400,103127,297.15,140,153,125,128,150
FDDN_ASD342,756.0484496,1800,103127,299.15,145,140,120,120,150
FDDN_ASD343,910.7238701,2600,101425,295.15,145,140,120,120,150
FDDN_ASD344,1038.526904,3400,102125,295.15,145,140,120,120,150
FDDN_ASD345,756.400762,1800,102326,296.15,145,140,120,120,150
FDDN_ASD346,905.531474,2600,102226,293.15,145,140,120,120,150
FDDN_ASD347,1041.381456,3400,101224,293.15,145,140,120,120,150
FDDN_ASD348,734.1742774,1800,102526,293.15,118,122,110,110,150
FDDN_ASD349,880.856528,2600,103027,293.15,118,122,110,110,150
FDDN_ASD350,1011.709661,3400,102626,294.15,118,122,110,110,150
FDDN_ASD351,743.2152791,1800,101725,297.15,118,122,110,110,150
FDDN_ASD352,892.7502341,2600,100624,293.15,118,122,110,110,150
FDDN_ASD353,1012.85625,3400,102726,294.15,118,122,110,110,150
FDDN_ASD354,758.9060809,1800,102526,299.15,131,145,120,125,150
FDDN_ASD355,917.5945489,2600,100423,296.15,131,145,120,125,150
FDDN_ASD356,1051.461479,3400,100824,298.15,131,145,120,125,150
FDDN_ASD357,755.0654705,1800,101825,293.15,131,145,120,125,150
FDDN_ASD358,905.4297234,2600,102426,293.15,131,145,120,125,150
FDDN_ASD359,1042.437294,3400,102226,296.15,131,145,120,125,150
FDDN_ASD360,755.191187,1800,102726,293.15,131,136,120,120,151
FDDN_ASD361,917.9741088,2600,101925,297.15,131,136,120,120,151
FDDN_ASD362,1056.710355,3400,100724,297.15,131,136,120,120,151
FDDN_ASD363,760.979693,1800,103227,298.15,131,136,120,120,151
FDDN_ASD364,919.2530428,2600,102326,298.15,131,136,120,120,151
FDDN_ASD365,1056.734187,3400,100724,296.15,131,136,120,120,151
FDDN_ASD366,759.4899623,1800,102826,299.15,131,136,114,120,151
FDDN_ASD367,905.5041693,2600,102526,293.15,131,136,114,120,151
FDDN_ASD368,1047.431373,3400,101024,295.15,131,136,114,120,151
FDDN_ASD369,763.5581103,1800,101725,298.15,131,136,114,120,151
FDDN_ASD370,913.6536875,2600,101725,295.15,131,136,114,120,151
FDDN_ASD371,1038.131097,3400,102826,294.15,131,136,114,120,151
FDDN_ASD372,768.9162529,1800,102526,294.15,145,153,130,130,151
FDDN_ASD373,934.4407851,2600,101425,297.15,145,153,130,130,151
FDDN_ASD374,1056.010674,3400,102926,294.15,145,153,130,130,151
FDDN_ASD375,778.6771404,1800,100323,294.15,145,153,130,130,151
FDDN_ASD376,935.050877,2600,100624,294.15,145,153,130,130,151
FDDN_ASD377,1065.965177,3400,101725,295.15,145,153,130,130,151
FDDN_ASD378,772.0133986,1800,100624,298.15,131,140,120,125,151
FDDN_ASD379,924.3415103,2600,101525,298.15,131,140,120,125,151
FDDN_ASD380,1047.430652,3400,102826,296.15,131,140,120,125,151
FDDN_ASD381,762.1812963,1800,103227,297.15,131,140,120,125,151
FDDN_ASD382,926.631947,2600,101024,297.15,131,140,120,125,151
FDDN_ASD383,1058.155899,3400,102125,299.15,131,140,120,125,151
FDDN_ASD384,764.8624586,1800,102025,297.15,131,136,120,125,151
FDDN_ASD385,915.9226905,2600,101525,293.15,131,136,120,125,151
