HoV,CAOLH_C66-C68,CAOLH_C68-C70,CAOLH_C70-C72,CAOLH_C72-C74,CAOLH_C74-C76,CAOLH_C76-C78,CAORH_C66-C68,CAORH_C68-C70,CAORH_C70-C72,CAORH_C72-C74,CAORH_C74-C76,CAORH_C76-C78,LAOLH_C66-C68,LAOLH_C68-C70,LAOLH_C70-C72,LAOLH_C72-C74,LAOLH_C74-C76,LAOLH_C76-C78,LAORH_C66-C68,LAORH_C68-C70,LAORH_C70-C72,LAORH_C72-C74,LAORH_C74-C76,LAORH_C76-C78,TZ6_Flow,CAOLH_SumFlow,CAORH_SumFlow,LAOLH_SumFlow,LAORH_SumFlow,MIXP,AMBP,AMBT,R600_HD,R610_HS1,R611_HS1,R612_HS1,R613_HS1,R620_HS1,R620_HS2,R620_HS3,R621_HS1,R621_HS2,R621_HS3,R630_HS1,R631_HS1,R632_HS1,R633_HS1,R634_HS1,R635_HS1,R636_HS1,R637_HS1,R638_HS1,R639_HS1,R640_HS1,R641_HS1
FDDN_ASD10,36.87504357325048,36.87504357325048,34.693943750279345,35.49245349220478,35.49245349220478,35.49245349220478,35.802442935647484,35.802442935647484,36.827049793175405,36.7683584195895,36.7683584195895,36.7683584195895,11.31499405177851,24.410989516091956,24.36922260088341,24.427695739899068,23.90143722464184,23.584013520475402,11.040284997625491,24.036989044184146,24.23748421467338,23.844848193490108,23.544110209876113,23.5608167461909,695.9312883564438,214.92139137339467,218.73701092323887,132.00835265377017,130.26453340604013,2600,101324.0,296.15,146,131,136,114,120,79,39,113,78,39,113,21,21,41,41,41,41,41,41,41,41,41,41
FDDN_ASD11,42.22500526631053,42.22500526631053,39.727913858990945,40.64244332938864,40.64244332938864,40.64244332938864,40.999203070662,40.999203070662,42.16140853803011,42.104126447922546,42.104126447922546,42.104126447922546,12.940618468496956,27.937226554479917,27.887144538781218,27.953920773863658,27.352934249349442,26.985669307104093,12.64154820882826,27.506036338342355,27.73143067030912,27.28064556592548,26.946733896299328,26.96342833232261,796.7047853070021,246.10525437977793,250.47219402312172,151.0575138920753,149.06982301202717,3400,100924.0,295.15,146,131,136,114,120,79,39,113,78,39,113,21,21,41,41,41,41,41,41,41,41,41,41
FDDN_ASD12,29.950289519554442,29.950289519554442,28.585346063979916,30.107739565084774,30.107739565084774,30.107739565084774,29.65838560988815,29.65838560988815,31.331999788562264,32.221960825187416,32.221960825187416,32.221960825187416,9.439152189033116,20.36875444151514,20.327382228829393,20.377029753627134,19.938475040238497,19.673688538579892,9.191580707922256,20.014291672657418,20.17979514825007,19.848789566175235,19.608810923289248,19.617086221244442,584.7086337136059,178.80914379834314,187.3146534839008,110.12448219182319,108.46035423953867,1800,101725.0,294.15,146,145,153,130,130,75,38,113,75,38,113,21,21,41,41,41,41,41,41,41,41,41,41
FDDN_ASD13,36.10124347378048,36.10124347378048,34.459367430236455,36.29301115428259,36.29301115428259,36.29301115428259,35.748843108003385,35.748843108003385,37.76839508864261,38.837444092967836,38.837444092967836,38.837444092967836,11.369441682035486,24.53249898645693,24.49102061160723,24.549089800027662,24.018173331602235,23.69464900927585,11.080252238268361,24.111759571001127,24.310872825537384,23.912648692167128,23.613983642204598,23.63057499554167,704.6342668099237,215.54088784064518,225.77841358355292,132.6548734210054,130.66009196472027,2600,102025.0,296.15,146,145,153,130,130,75,38,113,75,38,113,21,21,41,41,41,41,41,41,41,41,41,41
FDDN_ASD14,41.395167120389004,41.395167120389004,39.50916421962215,41.61411657163104,41.61411657163104,41.61411657163104,40.98600695650215,40.98600695650215,43.29835361919982,44.528375749977506,44.528375749977506,44.528375749977506,13.020225064911273,28.112948950369436,28.063073084629604,28.129574452182126,27.52275158537416,27.148688382460996,12.689451196310777,27.626005328000378,27.850476538624367,27.401537658669856,27.060682557312457,27.07730860913196,807.7000663654073,247.14184817529326,258.85549478213665,151.99726151992758,149.7054618880498,3400,102025.0,297.15,146,145,153,130,130,75,38,113,75,38,113,21,21,41,41,41,41,41,41,41,41,41,41
FDDN_ASD15,30.77708167790692,30.77708167790692,28.95201402327916,29.61737460439807,29.61737460439807,29.61737460439807,30.792404565427304,30.792404565427304,31.67433535438733,31.62439582141535,31.62439582141535,31.62439582141535,9.414458279375687,20.319377323112953,20.286277970109108,20.33592608012099,19.897366164139893,19.63257650256234,9.175152717755239,19.973175330946052,20.138680724723244,19.807671302461372,19.567689858663055,19.575965258164043,585.6149506539091,179.3583011922872,188.132331949488,109.88598231942099,108.23833519271301,1800,101725.0,294.15,146,145,153,130,130,79,39,113,78,39,113,21,21,41,41,41,41,41,41,41,41,41,41
FDDN_ASD16,37.492562378743465,37.492562378743465,35.276073896454655,36.08349315150924,36.08349315150924,36.08349315150924,37.515794971616636,37.515794971616636,38.58031110082117,38.52754089326824,38.52754089326824,38.52754089326824,11.46822017425086,24.742947340736745,24.70058323521774,24.759892427438427,24.226109410109128,23.895676520519704,11.172856775178799,24.313225547763913,24.516590962566976,24.11833406918534,23.821762371215044,23.830236583123884,713.272637249635,218.51167810846928,229.1945237238591,133.79342910827262,131.77300630903395,2600,100223.0,297.15,146,145,153,130,130,79,39,113,78,39,113,21,21,41,41,41,41,41,41,41,41,41,41
FDDN_ASD17,42.78684668860763,42.78684668860763,40.253754419690466,41.1841220453395,41.1841220453395,41.1841220453395,42.81303821733601,42.81303821733601,44.03023903289945,43.96844509328653,43.96844509328653,43.96844509328653,13.073812515805454,28.219489300396955,28.169021628663923,28.236312092838848,27.630697649981972,27.25219603875711,12.739113904624043,27.73517609934868,27.96231100619868,27.508044821792645,27.163144994971447,27.17996832691535,813.8107530606503,249.37981393292424,261.56165074743103,152.58152922644425,150.28775915385083,3400,100824.0,297.15,146,145,153,130,130,79,39,113,78,39,113,21,21,41,41,41,41,41,41,41,41,41,41
FDDN_ASD18,30.27571296883491,30.27571296883491,28.896265145410837,30.433902166162014,30.433902166162014,30.433902166162014,29.352063643626035,29.352063643626035,31.01348631939619,31.88684371272635,31.88684371272635,31.88684371272635,9.47916350179153,20.457732182030004,20.423869858282337,20.46619834106598,20.025993180395005,19.755099773580106,9.18388479914003,19.977279193805746,20.146605303536436,19.816419395864276,19.57089791664878,19.57936434361644,585.0100501161505,180.7493975815667,185.3781447448273,110.60805683714497,108.27445095261169,1800,101124.0,299.15,146,131,140,120,125,75,38,113,75,38,113,21,21,41,41,41,41,41,41,41,41,41,41
FDDN_ASD19,35.77017810755003,35.77017810755003,34.1396502668331,35.96143001210037,35.96143001210037,35.96143001210037,34.683875761066325,34.683875761066325,36.636876108992475,37.67917033736523,37.67917033736523,37.67917033736523,11.19483264463247,24.153117518370475,24.112335949596805,24.16942963993326,23.647431763467385,23.329342109943493,10.837663124761823,23.593831111886256,23.789608473124126,23.40621149539788,23.112550028350384,23.128863465117554,691.081652486037,213.5642965182343,219.04213864322082,130.60648962594388,127.86872769863803,2600,102726.0,293.15,146,131,140,120,125,75,38,113,75,38,113,21,21,41,41,41,41,41,41,41,41,41,41
FDDN_ASD20,41.02571538196991,41.02571538196991,39.158272032109025,41.24525459125919,41.24525459125919,41.24525459125919,39.77635728574329,39.77635728574329,42.02249852774488,43.215242205895464,43.215242205895464,43.215242205895464,12.82480671668858,27.688349911263476,27.639285590230298,27.70470491211857,27.107755774203625,26.739778959200706,12.426677299371468,27.047597052551936,27.26842913193489,26.826768380825186,26.491438973237603,26.507795525969367,792.4397945143401,244.94546656982644,251.22093971691785,149.70468186370528,146.56870636389044,3400,102326.0,293.15,146,131,140,120,125,75,38,113,75,38,113,21,21,41,41,41,41,41,41,41,41,41,41
FDDN_ASD21,30.915730090644143,30.915730090644143,29.08432453520845,29.750991703507307,29.750991703507307,29.750991703507307,30.276183134326093,30.276183134326093,31.142219963144615,31.094216162378647,31.094216162378647,31.094216162378647,9.403550820690807,20.287937323940447,20.254494405590574,20.30465789870791,19.869904930715496,19.594007493667405,9.10357141937593,19.821797989761812,19.98066673518609,19.654570493671198,19.41209002109846,19.420451589313863,582.2536956676714,180.16875982701865,184.97723471893275,109.71455287331264,107.39314824840736,1800,101024.0,295.15,146,131,140,120,125,79,39,113,78,39,113,21,21,41,41,41,41,41,41,41,41,41,41
FDDN_ASD22,37.15757921938714,37.15757921938714,34.96491754495587,35.764696672286426,35.764696672286426,35.764696672286426,36.39507060607288,36.39507060607288,37.43393633759216,37.375907193858026,37.375907193858026,37.375907193858026,11.289274671333878,24.372182980096763,24.330510887977095,24.38885127122618,23.863787696335784,23.538752465236882,10.94097980526115,23.809035877851905,24.000755033168897,23.6173189912976,23.325578144111958,23.33391427258955,699.7369072283891,216.5741660005894,222.35179913131202,131.78335997220657,129.02758212428105,2600,100523.0,293.15,146,131,140,120,125,79,39,113,78,39,113,21,21,41,41,41,41,41,41,41,41,41,41
FDDN_ASD23,42.60745578861842,42.60745578861842,40.087923300815845,41.008786509856726,41.008786509856726,41.008786509856726,41.73050308719717,41.73050308719717,42.9142726293918,42.85745495143124,42.85745495143124,42.85745495143124,12.941679441761268,27.924091215862276,27.88232360906476,27.940797472264318,27.347728266549737,26.971848116465576,12.5349597169055,27.27784373633558,27.511770708248132,27.06062434469524,26.72644496096668,26.73480082411509,802.1317504789369,248.32919440762285,254.94764365807987,151.00846812196792,147.84644429126624,3400,102226.0,299.15,146,131,140,120,125,79,39,113,78,39,113,21,21,41,41,41,41,41,41,41,41,41,41
FDDN_ASD24,29.9538131533506,29.9538131533506,28.589059631170997,30.11113011919531,30.11113011919531,30.11113011919531,29.042819038868583,29.042819038868583,30.68314197519609,31.550472496457235,31.550472496457235,31.550472496457235,9.306314100603979,20.07811081025539,20.04501394864873,20.094658373780533,19.66440395964457,19.391361249458047,9.083437489899483,19.7730173474319,19.93023505942435,19.607527724254865,19.367567181712708,19.375841845476206,577.9677629283537,178.83007629545813,183.42019754230498,108.57986244239125,107.1376266481995,1800,103127.0,298.15,146,131,136,120,125,75,38,113,75,38,113,21,21,41,41,41,41,41,41,41,41,41,41
FDDN_ASD25,36.06034321978095,36.06034321978095,34.41903250399267,36.25027006268747,36.25027006268747,36.25027006268747,34.962705582301936,34.962705582301936,36.93525343608195,37.978655050319894,37.978655050319894,37.978655050319894,11.189486377128627,24.15932782439977,24.117963374387124,24.167602191219057,23.654685217096922,23.332049093990786,10.925680120169403,23.78063107824334,23.979194193665183,23.590341766929008,23.300773247933655,23.30904733646186,695.5939407048872,215.29052913161695,220.79662975164553,130.6211140782223,128.88566774340245,2600,101625.0,294.15,146,131,136,120,125,75,38,113,75,38,113,21,21,41,41,41,41,41,41,41,41,41,41
FDDN_ASD26,41.17203758301463,41.17203758301463,39.30280914602571,41.39279784318038,41.39279784318038,41.39279784318038,39.92008625715741,39.92008625715741,42.174179600210124,43.36786840862347,43.36786840862347,43.36786840862347,12.77152620513571,27.568185542453005,27.51885383741852,27.58462966177766,26.992646795994972,26.622664501543113,12.468687405880829,27.143395233068542,27.365412271194035,26.921381625058263,26.584252895325058,26.600697206743966,794.0855683635851,245.8252778415961,252.11795734039538,149.05850654432297,147.0838266372707,3400,102125.0,294.15,146,131,136,120,125,75,38,113,75,38,113,21,21,41,41,41,41,41,41,41,41,41,41
FDDN_ASD27,30.94490184585739,30.94490184585739,29.108806754464116,29.78119481184351,29.78119481184351,29.78119481184351,30.305177988744326,30.305177988744326,31.167261691022084,31.124790256732567,31.124790256732567,31.124790256732567,9.33974365910306,20.152406097228926,20.11059044649813,20.160770061614574,19.725877405398897,19.458253160136625,9.114464264611257,19.83566097050814,20.002936021002444,19.676749678596792,19.434202196465197,19.442566071884485,581.9484033534663,180.34219488170942,185.15198843870843,108.9476408299802,107.50657920306831,1800,102025.0,298.15,146,131,136,120,125,79,39,113,78,39,113,21,21,41,41,41,41,41,41,41,41,41,41
FDDN_ASD28,37.28901539111389,37.28901539111389,35.08066835491135,35.887382258038336,35.887382258038336,35.887382258038336,36.51831310059435,36.51831310059435,37.562617332551,37.50423988691397,37.50423988691397,37.50423988691397,11.240345127290016,24.267031121615776,24.225138105816427,24.275411197876068,23.755940222844213,23.437558013379366,10.973162346113513,23.891860890445354,24.084584046960256,23.699140025492376,23.405871376320906,23.414251151879462,701.1031027317695,217.32084591125417,223.11196319448163,131.20142378882187,129.46886983721186,2600,101024.0,296.15,146,131,136,120,125,79,39,113,78,39,113,21,21,41,41,41,41,41,41,41,41,41,41
FDDN_ASD29,42.24494731870097,42.24494731870097,39.74365046354634,40.6611871872971,40.6611871872971,40.6611871872971,41.376139965815916,41.376139965815916,42.55016757861201,42.49179699517667,42.49179699517667,42.49179699517667,12.726303442770517,27.47184371862793,27.422655158483217,27.488240103795007,26.897975354089652,26.53726239031746,12.424333438591042,27.048266092907944,27.277835073243573,26.826896955934494,26.498943244784222,26.507143448105694,794.1226435802643,246.21710666283963,252.7778384957739,148.5442801680838,146.58341825356698,3400,102426.0,294.15,146,131,136,120,125,79,39,113,78,39,113,21,21,41,41,41,41,41,41,41,41,41,41
FDDN_ASD30,29.277807569547416,29.277807569547416,27.945425382892843,29.428421794045004,29.428421794045004,29.428421794045004,28.876497425012627,28.876497425012627,30.504690078554784,31.370098726883445,31.370098726883445,31.370098726883445,9.362869182893256,20.201990170482553,20.161238102236847,20.210141436536063,19.77816052328164,19.50919384838442,9.029900381495633,19.658383568515195,19.821414770941924,19.49535368738852,19.25895977349369,19.267111445047988,572.9090039040508,174.78630590412268,182.36798110923036,109.22359326381479,106.53112362688294,1800,102926.0,293.15,146,131,142,120,120,75,38,113,75,38,113,21,21,41,41,41,41,41,41,41,41,41,41
FDDN_ASD31,35.58764365133973,35.58764365133973,33.9674146808657,35.7762742036022,35.7762742036022,35.7762742036022,35.1021989124731,35.1021989124731,37.08402449693236,38.13504794467587,38.13504794467587,38.13504794467587,11.36568988824973,24.53662510818878,24.495069605837394,24.553246760964583,24.029651923894438,23.697216900265666,10.968882559257755,23.876118710554277,24.07561763088618,23.6849325809081,23.393999371432532,23.402312419087853,696.2444542097852,212.47152459435176,221.69356615590618,132.6775001874006,129.4018632721267,2600,102526.0,298.15,146,131,142,120,120,75,38,113,75,38,113,21,21,41,41,41,41,41,41,41,41,41,41
FDDN_ASD32,40.788074045503976,40.788074045503976,38.92919634706831,41.00473826413512,41.00473826413512,41.00473826413512,40.229687276514326,40.229687276514326,42.498404121037794,43.703594307090775,43.703594307090775,43.703594307090775,13.023341649580493,28.10433962300872,28.054420142694696,28.120979670781878,27.513626099050015,27.147552974069605,12.56892361745784,27.353776940952432,27.578467038817486,27.129090265286646,26.796221739665196,26.804544834010276,797.7834054211958,243.5195592304816,254.0685615953388,151.96426015918541,148.23102443618987,3400,102626.0,299.15,146,131,142,120,120,75,38,113,75,38,113,21,21,41,41,41,41,41,41,41,41,41,41
